ID,Name,Lat,Long,Capacity,province_id,NGO_ID,Password
1,Transparent Hands Trust,31.61321,74.43951,8029,1,1234567890111,1234
2, Edhi Foundation,31.52359,74.38301,1912,1,1234567890112,1234
3,Shaukat Khanum Cancer Hospital,31.54288,74.4393,8778,1,1234567890113,1234
4,Chhipa Welfare Association,31.56243,74.3814,4706,1,1234567890114,1234
5, Aurat Foundation,31.56424,74.38399,9049,1,1234567890115,1234
6, Shahid Afridi Foundation,24.93394,67.03019,8520,2,1234567890116,1234
7, Ansar Burney Trust,24.86944,67.06717,1537,2,1234567890117,1234
8, Darul Sukun ,31.52173,74.39932,9003,1,1234567890118,1234
9, Minhaj Welfare Foundation,31.52141,74.44105,3765,1,1234567890119,1234
10, Aga Khan Foundation,24.86272,67.09084,8461,2,1234567890120,1234
11, AlKhidmat Foundation,24.90966,67.05735,4347,2,1234567890121,1234
12, EHSAS,24.88115,67.0003614,3245,2,1234567890122,1234
13, Fatimid Foundation,24.93803,67.07079,8041,2,1234567890123,1234
14, Fauji Foundation,24.95391,67.07987,9566,2,1234567890124,1234
15, Khushaal Pakistan,31.61598,74.36367,5092,1,1234567890125,1234
16, Edhi Foundation,24.94355,67.01439,8138,2,1234567890126,1234
17,Chhipa Welfare Association,24.92449,67.01437,3138,2,1234567890127,1234
18, Minhaj Welfare Foundation,24.83272,67.02084,3565,2,1234567890128,1234
19, Fauji Foundation,31.41598,74.46367,4092,1,1234567890129,1234
