ID,First_Name,Last_Name,Family_id,ID_cnic,Gender
1,Aaban,Aamir,1,32103-9963008-1,M
2,Aadil,Dizhwar,2,32104-9963009-1,M
3,Aahil,Nadim,3,32105-9963010-1,M
4,Aalam,Raahil,4,32106-9963011-1,M
5,Aalee,Yar,5,32107-9963012-1,M
6,Aalim,Jiyad,6,32108-9963013-1,M
7,Aamil,Aasim,7,32109-9963014-1,M
8,Aamir,Rahmat,8,32110-9963015-1,M
9,Aamirah,Jamil,9,32111-9963016-1,M
10,Aaqib,Rabiah,10,32112-9963017-1,M
11,Aaqil,Qais,11,32113-9963018-1,M
12,Aarif,Gulzar,12,32114-9963019-1,M
13,Aariz,Uhban,13,32115-9963020-1,M
14,Aashif,Damurah,14,32116-9963021-1,M
15,Aashir,Yaqub,15,32117-9963022-1,M
16,Aasif,Zuhoor,16,32118-9963023-1,M
17,Aasim,Issar,17,32119-9963024-1,M
18,Aatif,Faakhir,18,32120-9963025-1,M
19,Aban,Safeenah,19,32121-9963026-1,M
20,Abbas,Nabhan,20,32122-9963027-1,M
21,Abbad,Haaziq,21,32123-9963028-1,M
22,Abdul Aalee,Iskandar,22,32124-9963029-1,M
23,Abdul Adl,Kamran,23,32125-9963030-1,M
24,Abdul Afuw,Farasat,24,32126-9963031-1,M
25,Abdul Ahad,Diyari,25,32127-9963032-1,M
26,Abdul Ali,Waseem,26,32128-9963033-1,M
27,Abdul Alim,Ishaq,27,32129-9963034-1,M
28,Abdul Awwal,Layth,28,32130-9963035-1,M
29,Abdul Azeez,Bazam,29,32131-9963036-1,M
30,Abdul Azim,Hafiz,30,32132-9963037-1,M
31,Abdul Aziz,Ghazalan,31,32133-9963038-1,M
32,Abdul Baari,Zaigham,32,32134-9963039-1,M
33,Abdul Baasit,Jaraah,33,32135-9963040-1,M
34,Baahir,Dawlah,34,32136-9963041-1,M
35,Baasim,Qamar,35,32137-9963042-1,M
36,Babar,Daniel,36,32138-9963043-1,M
37,Baber,Labib,37,32139-9963044-1,M
38,Baqir,Rafan,38,32140-9963045-1,M
39,Barkat,Jahangir,39,32141-9963046-1,M
40,Barr,Lahab,40,32142-9963047-1,M
41,Barraq,Saeed,41,32143-9963048-1,M
42,Basel,Aamil,42,32144-9963049-1,M
43,Basem,Wahhaj,43,32145-9963050-1,M
44,Bashaar,Quadir,44,32146-9963051-1,M
45,Bashar,Liban,45,32147-9963052-1,M
46,Basharat,Jahdami,46,32148-9963053-1,M
47,Basil,Aalim,47,32149-9963054-1,M
48,Basim,Aashif,48,32150-9963055-1,M
49,Basir,Makki,49,32151-9963056-1,M
50,Bassam,Usamah,50,32152-9963057-1,M
51,Batal,Sabir,51,32153-9963058-1,M
52,Bazam,Ghunayn,52,32154-9963059-1,M
53,Behzad,Bashaar,53,32155-9963060-1,M
54,Bilal,Saafir,54,32156-9963061-1,M
55,Bulhut,Yushua,55,32157-9963062-1,M
56,Burayd,Rafiq,56,32158-9963063-1,M
57,Burhan,Kazim,57,32159-9963064-1,M
58,Careem,Ghannam,58,32160-9963065-1,M
59,Cal,Wajeeh,59,32161-9963066-1,M
60,Cale,Nabih,60,32162-9963067-1,M
